region,year,reason
Свердловская область,2008,неполный набор высокочастотных периодов
Свердловская область,2009,неполный набор высокочастотных периодов
Свердловская область,2010,неполный набор высокочастотных периодов
Свердловская область,2011,неполный набор высокочастотных периодов
Свердловская область,2017,неполный набор высокочастотных периодов
Свердловская область,2025,неполный набор высокочастотных периодов
Смоленская область,2005,неполный набор высокочастотных периодов
Смоленская область,2006,неполный набор высокочастотных периодов
Смоленская область,2007,неполный набор высокочастотных периодов
Смоленская область,2008,неполный набор высокочастотных периодов
Смоленская область,2009,неполный набор высокочастотных периодов
Смоленская область,2010,неполный набор высокочастотных периодов
Смоленская область,2011,неполный набор высокочастотных периодов
Смоленская область,2017,неполный набор высокочастотных периодов
Ставропольский край,2005,неполный набор высокочастотных периодов
Ставропольский край,2006,неполный набор высокочастотных периодов
Ставропольский край,2007,неполный набор высокочастотных периодов
Ставропольский край,2008,неполный набор высокочастотных периодов
Ставропольский край,2009,неполный набор высокочастотных периодов
Ставропольский край,2010,неполный набор высокочастотных периодов
Ставропольский край,2011,неполный набор высокочастотных периодов
Ставропольский край,2017,неполный набор высокочастотных периодов
Ставропольский край,2022,неполный набор высокочастотных периодов
Тамбовская область,2005,неполный набор высокочастотных периодов
Тамбовская область,2006,неполный набор высокочастотных периодов
Тамбовская область,2007,неполный набор высокочастотных периодов
Тамбовская область,2008,неполный набор высокочастотных периодов
Тамбовская область,2009,неполный набор высокочастотных периодов
Тамбовская область,2010,неполный набор высокочастотных периодов
Тамбовская область,2011,неполный набор высокочастотных периодов
Тамбовская область,2017,неполный набор высокочастотных периодов
Тверская область,2005,неполный набор высокочастотных периодов
Тверская область,2006,неполный набор высокочастотных периодов
Тверская область,2007,неполный набор высокочастотных периодов
Тверская область,2008,неполный набор высокочастотных периодов
Тверская область,2009,неполный набор высокочастотных периодов
Тверская область,2010,неполный набор высокочастотных периодов
Тверская область,2011,неполный набор высокочастотных периодов
Тверская область,2017,неполный набор высокочастотных периодов
Томская область,2005,неполный набор высокочастотных периодов
Томская область,2006,неполный набор высокочастотных периодов
Томская область,2007,неполный набор высокочастотных периодов
Томская область,2008,неполный набор высокочастотных периодов
Томская область,2009,неполный набор высокочастотных периодов
Томская область,2010,неполный набор высокочастотных периодов
Томская область,2011,неполный набор высокочастотных периодов
Томская область,2013,неполный набор высокочастотных периодов
Томская область,2015,неполный набор высокочастотных периодов
Томская область,2017,неполный набор высокочастотных периодов
Тульская область,2005,неполный набор высокочастотных периодов
Тульская область,2006,неполный набор высокочастотных периодов
Тульская область,2007,неполный набор высокочастотных периодов
Тульская область,2008,неполный набор высокочастотных периодов
Тульская область,2009,неполный набор высокочастотных периодов
Тульская область,2010,неполный набор высокочастотных периодов
Тульская область,2011,неполный набор высокочастотных периодов
Тульская область,2017,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2005,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2006,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2007,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2008,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2009,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2010,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2011,неполный набор высокочастотных периодов
Тюменская область без автономных округов,2017,неполный набор высокочастотных периодов
Удмуртская Республика,2005,неполный набор высокочастотных периодов
Удмуртская Республика,2006,неполный набор высокочастотных периодов
Удмуртская Республика,2007,неполный набор высокочастотных периодов
Удмуртская Республика,2008,неполный набор высокочастотных периодов
Удмуртская Республика,2009,неполный набор высокочастотных периодов
Удмуртская Республика,2010,неполный набор высокочастотных периодов
Удмуртская Республика,2011,неполный набор высокочастотных периодов
Удмуртская Республика,2017,неполный набор высокочастотных периодов
Ульяновская область,2005,неполный набор высокочастотных периодов
Ульяновская область,2006,неполный набор высокочастотных периодов
Ульяновская область,2007,неполный набор высокочастотных периодов
Ульяновская область,2008,неполный набор высокочастотных периодов
Ульяновская область,2009,неполный набор высокочастотных периодов
Ульяновская область,2010,неполный набор высокочастотных периодов
Ульяновская область,2011,неполный набор высокочастотных периодов
Ульяновская область,2017,неполный набор высокочастотных периодов
Хабаровский край,2005,неполный набор высокочастотных периодов
Хабаровский край,2006,неполный набор высокочастотных периодов
Хабаровский край,2007,неполный набор высокочастотных периодов
Хабаровский край,2008,неполный набор высокочастотных периодов
Хабаровский край,2009,неполный набор высокочастотных периодов
Хабаровский край,2010,неполный набор высокочастотных периодов
Хабаровский край,2011,неполный набор высокочастотных периодов
Хабаровский край,2013,неполный набор высокочастотных периодов
Хабаровский край,2017,неполный набор высокочастотных периодов
Челябинская область,2005,неполный набор высокочастотных периодов
Челябинская область,2006,неполный набор высокочастотных периодов
Челябинская область,2007,неполный набор высокочастотных периодов
Челябинская область,2008,неполный набор высокочастотных периодов
Челябинская область,2009,неполный набор высокочастотных периодов
Челябинская область,2010,неполный набор высокочастотных периодов
Челябинская область,2011,неполный набор высокочастотных периодов
Челябинская область,2017,неполный набор высокочастотных периодов
Челябинская область,2025,неполный набор высокочастотных периодов
Чеченская Республика,2008,неполный набор высокочастотных периодов
Чеченская Республика,2009,неполный набор высокочастотных периодов
Чеченская Республика,2010,неполный набор высокочастотных периодов
Чеченская Республика,2011,неполный набор высокочастотных периодов
Чеченская Республика,2013,неполный набор высокочастотных периодов
Чеченская Республика,2017,неполный набор высокочастотных периодов
Чувашская Республика,2005,неполный набор высокочастотных периодов
Чувашская Республика,2006,неполный набор высокочастотных периодов
Чувашская Республика,2007,неполный набор высокочастотных периодов
Чувашская Республика,2008,неполный набор высокочастотных периодов
Чувашская Республика,2009,неполный набор высокочастотных периодов
Чувашская Республика,2010,неполный набор высокочастотных периодов
Чувашская Республика,2011,неполный набор высокочастотных периодов
Чувашская Республика,2013,неполный набор высокочастотных периодов
Чувашская Республика,2017,неполный набор высокочастотных периодов
Ярославская область,2005,неполный набор высокочастотных периодов
Ярославская область,2006,неполный набор высокочастотных периодов
Ярославская область,2007,неполный набор высокочастотных периодов
Ярославская область,2008,неполный набор высокочастотных периодов
Ярославская область,2009,неполный набор высокочастотных периодов
Ярославская область,2010,неполный набор высокочастотных периодов
Ярославская область,2011,неполный набор высокочастотных периодов
Ярославская область,2017,неполный набор высокочастотных периодов
Ярославская область,2019,неполный набор высокочастотных периодов
г. Москва,2017,неполный набор высокочастотных периодов
